p1, p2, p3, p4, p5, p6, p7, p8, p9, p10, p11, p12, p13, p14, device
-944,80,96,96,80,80,48,1056,-96,-96,-112,-96,-64,-16,notebook power adapter
-1056,96,96,112,80,80,32,1056,-96,-96,-96,-80,-80,-64,notebook power adapter
-848,64,112,96,80,64,112,288,-96,-96,-128,-96,-48,-224,notebook power adapter
-768,64,96,96,112,96,48,176,160,-80,-96,-96,-80,-80,notebook power adapter
-672,96,96,112,96,80,288,96,-96,-96,-112,-80,-64,-512,notebook power adapter
-992,96,96,96,96,80,32,1040,-96,-96,-112,-64,-80,-32,notebook power adapter
-1056,112,96,112,80,80,32,1040,-96,-80,-96,-80,-80,-48,notebook power adapter
-560,80,96,96,80,64,16,848,-64,-112,-96,-80,-64,-112,notebook power adapter
-976,80,96,112,112,64,16,944,-80,-96,-96,-96,-64,-32,notebook power adapter
-448,96,96,112,80,80,80,288,-80,-96,-96,-96,-64,-256,notebook power adapter
-672,80,96,112,80,64,256,80,-96,-96,-96,-80,-64,-640,notebook power adapter
-640,16,96,112,112,80,64,48,304,-80,-96,-112,-96,-48,notebook power adapter
-1024,96,96,112,80,80,16,544,-64,-96,-112,-80,-80,0,notebook power adapter
-528,80,112,112,96,64,64,416,-80,-96,-112,-80,-64,-160,notebook power adapter
-1008,80,96,112,96,48,16,928,-64,-112,-112,-112,-80,-16,notebook power adapter
-960,80,96,96,64,64,48,1008,-96,-96,-96,-96,-96,-48,notebook power adapter
-736,48,96,96,112,80,48,144,176,-96,-96,-96,-112,-48,notebook power adapter
-896,96,96,96,96,64,16,544,-80,-112,-112,-80,-48,-16,notebook power adapter
-320,-64,80,80,96,80,32,640,-32,-96,-96,-80,-96,-48,notebook power adapter
-496,80,96,96,80,64,32,384,-96,-112,-112,-80,-64,-128,notebook power adapter
-1040,96,96,112,80,80,16,1008,-96,-112,-112,-64,-48,-16,notebook power adapter
-816,80,96,112,80,48,128,256,-96,-112,-112,-96,-64,-192,notebook power adapter
-624,64,96,96,80,48,16,480,-80,-112,-112,-112,-64,-16,notebook power adapter
-560,16,96,96,128,80,48,848,-64,-96,-96,-80,-48,-48,notebook power adapter
-528,16,80,96,112,96,64,1072,-96,-112,-112,-80,-64,-32,notebook power adapter
-1008,80,96,96,80,64,16,928,-80,-112,-112,-96,-64,-16,notebook power adapter
-1072,96,96,96,80,48,16,720,-64,-112,-96,-64,-80,-16,notebook power adapter
-944,64,96,96,80,48,0,832,-64,-96,-96,-64,-32,-848,notebook power adapter
-800,48,96,112,80,80,48,1008,-80,-96,-96,-128,-96,-48,notebook power adapter
-1072,80,96,112,80,64,16,832,-64,-96,-96,-80,-96,-16,notebook power adapter
-1072,112,96,112,80,64,16,688,-64,-112,-112,-112,-64,0,notebook power adapter
-1040,96,96,96,128,64,48,1088,-96,-96,-96,-128,-96,-48,notebook power adapter
-1040,64,96,112,96,64,16,1008,-64,-112,-112,-80,-32,-48,notebook power adapter
-592,-64,96,96,112,80,64,640,-32,-80,-96,-80,-96,-64,notebook power adapter
-1072,112,96,112,80,80,32,1072,-96,-96,-96,-96,-32,-16,notebook power adapter
-480,80,96,112,96,64,32,352,-80,-96,-112,-80,-64,-144,notebook power adapter
-1088,96,96,112,80,64,32,1008,-96,-96,-112,-80,-64,-32,notebook power adapter
-944,80,96,112,96,64,464,0,-80,-96,-112,-64,-48,-816,notebook power adapter
-720,48,96,112,128,96,64,816,-80,-80,-96,-64,-64,-32,notebook power adapter
-1008,80,96,112,96,64,16,912,-64,-96,-112,-80,-48,-32,notebook power adapter
-544,-448,80,112,112,96,48,48,288,-96,-96,-96,-48,-32,notebook power adapter
-720,64,112,96,80,64,16,608,-64,-96,-112,-96,-64,-16,notebook power adapter
-848,64,96,96,80,80,48,992,-80,-96,-96,-96,-96,-16,notebook power adapter
-336,-96,96,96,96,64,32,1040,-96,-96,-112,-96,-32,-304,notebook power adapter
-912,64,96,96,96,48,48,368,-96,-112,-112,-64,-80,-96,notebook power adapter
-816,64,96,96,80,48,0,688,-80,-96,-96,-64,-64,-32,notebook power adapter
-1008,96,96,96,80,96,48,640,-48,-96,-96,-80,-80,-48,notebook power adapter
-848,64,96,96,80,48,0,720,-64,-112,-112,-80,-48,-16,notebook power adapter
-656,64,96,96,80,64,0,544,-96,-112,-112,-80,-80,-480,notebook power adapter
-1056,80,80,96,96,80,48,688,-48,-96,-112,-128,-64,-48,notebook power adapter
-544,80,112,112,80,48,48,416,-80,-96,-112,-96,-80,-112,notebook power adapter
-688,80,96,112,80,48,368,64,-96,-96,-112,-112,-48,-464,notebook power adapter
-752,96,96,96,80,64,32,1008,-96,-96,-112,-80,-64,-16,notebook power adapter
-1056,96,112,112,96,64,16,576,-80,-96,-112,-96,-64,-16,notebook power adapter
-320,-96,96,96,112,80,64,528,-32,-80,-96,-96,-80,-80,notebook power adapter
-1504,128,128,144,112,112,64,1360,-112,-96,-128,-128,-80,-32,notebook power adapter
-864,64,96,96,80,64,16,1120,-112,-96,-112,-96,-64,-16,notebook power adapter
-752,-336,96,96,112,80,48,176,176,-96,-96,-112,-80,-48,notebook power adapter
-672,80,112,112,96,80,912,32,-96,-112,-112,-96,-64,-1184,notebook power adapter
-832,64,96,96,96,80,64,1040,-96,-112,-112,-112,-112,-32,notebook power adapter
-1056,96,96,112,96,64,16,960,-64,-96,-96,-96,-64,-16,notebook power adapter
-704,64,96,112,96,64,16,768,-64,-96,-112,-80,-48,0,notebook power adapter
-624,80,96,112,80,64,16,528,-80,-96,-96,-80,-64,-16,notebook power adapter
-1136,112,112,112,80,48,128,288,-96,-96,-112,-80,-64,-16,notebook power adapter
-976,80,96,112,96,64,16,1200,-112,-112,-112,-96,-80,-32,notebook power adapter
-576,80,96,112,96,64,16,480,-80,-112,-96,-64,-64,-144,notebook power adapter
-896,64,96,96,96,80,16,1136,-64,-112,-112,-96,-80,-272,notebook power adapter
-976,96,96,96,96,80,48,320,48,-96,-96,-112,-64,-16,notebook power adapter
-1008,80,96,96,96,64,48,1040,-96,-96,-96,-80,-80,-64,notebook power adapter
-1056,80,96,112,80,64,16,480,-80,-96,-112,-80,-80,0,notebook power adapter
-784,64,96,96,96,64,16,640,-80,-112,-112,-80,-64,-16,notebook power adapter
-960,64,96,112,96,64,48,1088,-96,-96,-96,-96,-48,-32,notebook power adapter
-704,80,112,112,96,64,256,64,-96,-96,-96,-112,-80,-560,notebook power adapter
-1088,96,96,112,112,80,32,1072,-96,-96,-112,-80,-32,0,notebook power adapter
-1008,80,96,112,96,64,16,944,-64,-112,-112,-80,-48,-32,notebook power adapter
-400,-48,112,112,96,96,32,1088,-112,-96,-96,-80,-112,-16,notebook power adapter
-1008,80,96,112,96,64,16,912,-64,-96,-96,-80,-64,-16,notebook power adapter
-1056,96,96,112,112,96,80,624,-48,-96,-96,-112,-80,-16,notebook power adapter
-544,96,112,96,96,80,672,-48,-96,-96,-80,-80,-64,-976,notebook power adapter
-1040,80,112,112,80,64,16,512,-80,-96,-112,-96,-48,-16,notebook power adapter
-288,-96,96,96,112,80,64,560,-16,-96,-96,-112,-96,-64,notebook power adapter
-928,64,96,96,80,48,16,832,-64,-96,-96,-80,-64,-16,notebook power adapter
-1072,96,96,112,112,80,48,1120,-96,-96,-96,-96,-64,-16,notebook power adapter
-960,96,112,64,16,-32,-96,-96,-96,-80,-96,-816,64,96,notebook power adapter
-944,80,96,96,112,64,48,1104,64,-96,-96,-112,-112,-64,notebook power adapter
-640,64,112,112,96,64,0,944,-80,-96,-96,-64,-80,-640,notebook power adapter
-960,64,80,96,80,64,16,912,-64,-96,-112,-96,-48,-16,notebook power adapter
-880,64,96,112,112,80,64,176,160,-80,-96,-112,-64,-64,notebook power adapter
-1040,112,96,96,96,48,16,784,-64,-112,-112,-80,-64,-16,notebook power adapter
-800,64,96,112,80,48,16,672,-80,-112,-112,-64,-80,-16,notebook power adapter
-576,80,112,112,80,64,32,432,-80,-112,-112,-80,-64,-144,notebook power adapter
-928,80,96,96,112,80,48,496,16,-96,-96,-96,-96,-64,notebook power adapter
-752,64,96,96,80,48,16,640,-80,-112,-112,-96,-48,-16,notebook power adapter
-672,48,96,96,112,64,48,112,224,-96,-96,-112,-96,-64,notebook power adapter
-1008,80,96,96,80,64,16,944,-80,-112,-112,-96,-64,-16,notebook power adapter
-1056,80,96,112,96,64,16,976,-64,-112,-112,-80,-64,-16,notebook power adapter
-1024,112,96,96,80,64,32,1088,-112,-112,-112,-96,-80,-16,notebook power adapter
-608,48,80,96,128,80,64,208,240,-96,-112,-128,-112,-112,notebook power adapter
-1072,96,96,112,80,80,16,1072,-96,-96,-112,-96,-80,-16,notebook power adapter
-1072,80,96,96,80,64,80,304,-96,-96,-112,-80,-48,-160,notebook power adapter
-976,80,96,96,80,80,48,1120,-96,-96,-112,-112,-80,-48,notebook power adapter
-1072,96,96,96,80,64,16,848,-64,-96,-112,-80,-48,-16,notebook power adapter
-1472,96,128,128,96,112,80,784,-112,-144,-144,-176,-48,-1392,notebook power adapter
-1024,80,96,96,112,64,32,1088,-112,-96,-112,-96,-96,-48,notebook power adapter
-1056,112,96,112,80,64,16,1072,-96,-96,-96,-80,-64,-16,notebook power adapter
-1040,96,96,96,96,80,64,800,-48,-96,-96,-128,-80,-48,notebook power adapter
-1040,96,96,96,80,64,16,1040,-80,-96,-112,-80,-80,-32,notebook power adapter
-784,64,96,112,80,48,16,688,-64,-96,-96,-96,-48,-16,notebook power adapter
-1056,48,96,96,96,80,16,1040,-96,-112,-112,-128,-80,-48,notebook power adapter
-1040,96,96,96,96,64,16,1072,-96,-96,-112,-80,-64,-16,notebook power adapter
-768,64,96,112,80,48,16,656,-96,-96,-128,-96,-64,-16,notebook power adapter
-400,80,96,112,80,48,128,256,-96,-96,-112,-80,-64,-192,notebook power adapter
-1040,96,96,96,96,64,0,1008,-80,-112,-112,-112,-96,-16,notebook power adapter
-1104,112,96,96,64,96,272,-80,-96,-96,-96,-48,-256,-112,notebook power adapter
-960,48,96,96,112,80,64,1088,-80,-96,-96,-112,-112,-48,notebook power adapter
-800,64,96,96,80,48,16,656,-64,-112,-112,-128,-48,-320,notebook power adapter
-480,80,96,112,80,64,48,352,-96,-96,-96,-96,-48,-144,notebook power adapter
-992,96,96,112,96,64,32,1120,-112,-96,-112,-80,-80,-48,notebook power adapter
-528,80,96,112,96,48,32,416,-80,-96,-112,-80,-64,-128,notebook power adapter
-720,32,96,96,112,80,64,1008,-80,-96,-96,-80,-64,-48,notebook power adapter
-912,80,96,112,96,64,16,928,-64,-96,-96,-96,-64,-16,notebook power adapter
-1072,112,112,112,112,64,32,1088,-96,-96,-112,-80,-64,-16,notebook power adapter
-1072,96,96,112,96,64,16,1040,-80,-96,-112,-96,-64,-16,notebook power adapter
-1120,96,96,112,128,64,32,1168,-112,-96,-112,-80,-80,-32,notebook power adapter
-1088,96,96,112,112,64,32,1104,-96,-96,-112,-80,-64,-16,notebook power adapter
-880,80,80,96,112,64,48,1072,-96,-112,-112,-80,-96,-32,notebook power adapter
-480,80,96,96,96,48,64,320,-80,-96,-128,-64,-16,-1008,notebook power adapter
-608,32,80,96,80,96,64,880,-80,-96,-96,-96,-64,-48,notebook power adapter
-1040,96,112,112,112,64,16,1088,-96,-96,-96,-112,-96,-32,notebook power adapter
-816,-384,96,96,112,96,64,192,240,-96,-96,-112,-80,-64,notebook power adapter
-672,64,96,96,80,64,16,528,-80,-96,-112,-64,-48,-32,notebook power adapter
-736,48,96,96,128,64,64,944,-96,-96,-96,-80,-64,-64,notebook power adapter
-832,64,96,96,80,48,16,768,-64,-96,-112,-96,-64,-16,notebook power adapter
-1040,112,96,112,112,64,32,1056,-96,-96,-96,-80,-48,-16,notebook power adapter
-976,80,96,96,96,64,512,16,-96,-96,-96,-96,-48,-720,notebook power adapter
-944,64,96,96,80,64,16,848,-64,-96,-96,-48,-80,-16,notebook power adapter
-832,64,96,96,112,80,48,992,-80,-96,-96,-112,-80,-48,notebook power adapter
-1056,96,96,96,80,80,16,672,-96,-112,-64,-48,-32,-560,notebook power adapter
-496,80,112,96,80,64,64,352,-96,-112,-112,-80,-64,-96,notebook power adapter
-1024,96,96,112,80,64,64,864,-64,-96,-96,-80,-96,-64,notebook power adapter
-592,32,96,96,96,80,48,816,-80,-96,-96,-96,-96,-96,notebook power adapter
-976,64,96,96,96,64,16,-32,-96,-112,-112,-80,-48,-64,notebook power adapter
-464,80,96,96,64,48,48,384,-96,-96,-112,-96,-64,-112,notebook power adapter
-864,64,96,96,80,64,16,736,-80,-112,-96,-64,-96,-16,notebook power adapter
-608,64,96,96,96,48,16,448,-80,-96,-112,-96,-48,-16,notebook power adapter
-544,64,96,112,80,64,16,432,-80,-96,-80,-96,-48,-736,notebook power adapter
-1056,96,96,112,80,64,32,1040,-80,-96,-112,-80,-64,-16,notebook power adapter
-800,80,96,112,64,48,176,640,-80,-96,-112,-64,-64,0,notebook power adapter
-1024,80,96,96,128,80,48,1072,-96,-96,-96,-128,-64,-48,notebook power adapter
-1040,96,96,112,96,80,0,512,-80,-96,-96,-80,-64,-32,notebook power adapter
-960,64,96,112,80,80,16,800,-64,-96,-96,-80,-48,-16,notebook power adapter
-560,80,96,96,80,48,16,448,-80,-96,-112,-80,-48,-48,notebook power adapter
-1088,32,96,96,80,80,64,816,-64,-96,-96,-96,-64,-16,notebook power adapter
-1088,96,96,96,96,64,16,1024,-96,-96,-112,-96,-64,-352,notebook power adapter
-1040,96,96,112,96,64,16,1024,-80,-96,-96,-80,-64,-48,notebook power adapter
-1024,96,96,96,96,80,48,1024,-64,-96,-112,-96,-48,-16,notebook power adapter
-432,96,96,112,96,64,64,320,-80,-96,-112,-96,-64,-192,notebook power adapter
-416,80,96,96,96,64,112,256,-96,-96,-112,-64,-64,-192,notebook power adapter
-1056,96,96,112,80,64,16,1008,-96,-96,-96,-96,-64,-16,notebook power adapter
-848,64,96,96,112,96,64,144,128,-80,-96,-112,-80,-64,notebook power adapter
-272,-80,96,96,112,80,48,496,16,-96,-96,-128,-80,-64,notebook power adapter
-1056,64,96,112,80,64,32,1104,-96,-96,-112,-96,-64,-16,notebook power adapter
-1088,64,96,96,96,64,128,224,-96,-96,-96,-80,-64,0,notebook power adapter
-848,80,112,112,80,64,64,-64,-96,-96,-112,-64,-64,-224,notebook power adapter
-1024,96,96,112,96,64,16,944,-80,-96,-96,-80,-48,-16,notebook power adapter
-784,64,96,96,80,64,16,640,-64,-96,-112,-96,-64,-16,notebook power adapter
-864,64,96,96,80,48,0,720,-64,-112,-112,-80,-64,-16,notebook power adapter
-736,32,96,96,128,64,32,976,-80,-96,-96,-112,-96,-64,notebook power adapter
-1088,96,96,112,128,80,48,912,-80,-96,-112,-96,-80,-64,notebook power adapter
-480,80,96,112,96,64,640,-96,-96,-112,-96,-64,-32,-1040,notebook power adapter
-1072,96,96,112,96,64,16,1104,-96,-96,-112,-112,-80,-16,notebook power adapter
-1024,96,96,112,96,80,32,1104,-112,-96,-96,-80,-96,-48,notebook power adapter
-688,64,96,112,96,48,16,592,-80,-96,-112,-112,-64,-448,notebook power adapter
-1072,96,96,96,80,1040,-64,-96,-96,-80,-48,-16,-480,80,notebook power adapter
-448,80,112,112,64,64,1056,-96,-96,-96,-80,-64,-16,-976,notebook power adapter
-656,64,96,96,80,64,0,960,-80,-96,-112,-80,-64,-48,notebook power adapter
-592,64,96,112,80,64,400,32,-96,-96,-112,-96,-96,-64,notebook power adapter
-1120,96,96,112,96,80,32,1056,-96,-96,-96,-80,-64,-16,notebook power adapter
-1040,96,96,112,96,64,16,960,-80,-96,-112,-96,-48,-16,notebook power adapter
-1200,112,112,112,96,64,112,432,-96,-112,-112,-96,-48,0,notebook power adapter
-976,80,96,96,112,80,32,1120,-96,-96,-96,-128,-64,-64,notebook power adapter
-1056,112,96,112,112,64,16,1104,-96,-96,-112,-80,-80,-64,notebook power adapter
-848,64,112,112,80,64,16,720,-64,-112,-96,-80,-64,0,notebook power adapter
-1056,96,96,112,96,64,32,1056,-96,-96,-112,-80,-64,-16,notebook power adapter
-752,64,96,96,112,80,16,1024,-96,-96,-112,-96,-64,-48,notebook power adapter
-1072,96,96,112,112,64,240,176,-96,-112,-112,-80,-64,-448,notebook power adapter
-864,64,96,112,96,64,16,768,-64,-96,-112,-96,-64,-16,notebook power adapter
-1104,112,96,112,96,64,16,1088,-96,-96,-112,-96,-64,-16,notebook power adapter
-1072,96,96,112,96,80,16,1072,-96,-96,-112,-96,-48,0,notebook power adapter
-960,80,96,96,64,64,48,1120,-96,-96,-112,-128,-80,-32,notebook power adapter
-752,96,144,144,112,80,48,688,-48,-80,-96,-64,-48,-560,notebook power adapter
-960,64,96,112,96,64,0,848,-64,-96,-112,-96,-64,-32,notebook power adapter
-1040,96,96,96,80,48,16,624,-96,-96,-112,-96,-64,-16,notebook power adapter
-1072,96,96,96,112,64,48,832,-64,-96,-96,-80,-96,-48,notebook power adapter
-1120,96,96,112,112,64,32,1136,-96,-96,-112,-64,-80,-32,notebook power adapter
-1312,-96,112,112,112,80,80,1056,-16,-96,-96,-112,-96,-64,notebook power adapter
-832,-32,96,96,128,80,64,896,-64,-96,-96,-112,-96,-64,notebook power adapter
-1152,0,112,112,96,96,64,1072,-64,-96,-96,-128,-96,-80,notebook power adapter
-832,64,96,96,64,80,48,960,-80,-96,-96,-112,-64,-48,notebook power adapter
-1040,64,112,96,96,64,16,1024,-80,-96,-112,-96,-80,-16,notebook power adapter
-976,96,128,128,128,80,48,1248,-112,-96,-112,-80,-48,-576,notebook power adapter
-1040,64,96,112,96,64,16,720,-80,-112,-112,-96,-80,-16,notebook power adapter
-1424,96,112,128,112,96,64,1248,128,-112,-112,-144,-96,-64,notebook power adapter
-1120,64,96,112,112,80,64,832,240,-112,-112,-128,-96,-64,notebook power adapter
-1120,96,112,112,96,80,656,80,-96,-96,-128,-80,-80,-688,notebook power adapter
-1056,48,112,112,144,80,80,976,-64,-96,-96,-64,-64,-48,notebook power adapter
-928,64,96,96,128,64,64,1120,-96,-112,-112,-80,-80,-48,notebook power adapter
-1488,-672,96,128,144,112,64,1632,576,-128,-144,-144,-96,-96,notebook power adapter
-1008,80,96,96,112,80,16,976,-64,-96,-96,-80,-48,-16,notebook power adapter
-1040,96,96,112,96,48,0,704,-64,-112,-112,-80,-48,-16,notebook power adapter
-608,64,96,112,80,48,32,464,-96,-112,-112,-64,-80,-64,notebook power adapter
-1088,112,96,112,96,64,16,1104,-96,-96,-112,-80,-64,0,notebook power adapter
-1088,112,96,96,96,64,16,1088,-96,-96,-112,-112,-48,-16,notebook power adapter
-1296,112,112,112,112,64,208,720,-96,-112,-128,-96,-64,-304,notebook power adapter
-720,80,96,112,80,48,16,576,-80,-112,-112,-80,-48,-16,notebook power adapter
-736,64,96,96,96,80,48,944,144,-96,-96,-112,-64,-64,notebook power adapter
-1040,96,96,96,96,48,16,672,-80,-112,-112,-80,-64,-16,notebook power adapter
-1008,80,96,112,80,64,16,928,-80,-96,-112,-48,-64,-16,notebook power adapter
-576,80,96,112,80,48,512,-32,-96,-96,-80,-96,-48,-80,notebook power adapter
-912,64,96,112,80,80,16,1072,-112,-96,-112,-112,-64,-16,notebook power adapter
-1104,112,96,112,112,64,32,1136,-112,-96,-112,-80,-48,-48,notebook power adapter
-1136,80,96,112,112,80,48,1104,-96,-112,-112,-80,-64,-32,notebook power adapter
-992,96,96,96,112,96,64,608,-16,-96,-96,-112,-80,-64,notebook power adapter
-1200,112,112,112,112,96,32,1200,-112,-112,-128,-96,-80,-32,notebook power adapter
-1312,96,112,112,112,80,48,1376,-128,-128,-128,-112,-80,-48,notebook power adapter
-560,80,96,96,80,64,48,832,-80,-96,-96,-64,-64,-880,notebook power adapter
-1088,96,96,112,128,64,32,1104,-96,-112,-112,-112,-96,-64,notebook power adapter
-1088,96,96,96,80,48,16,704,-80,-112,-112,-64,-48,-112,notebook power adapter
-1104,96,96,112,96,80,32,1088,-96,-112,-112,-80,-32,-16,notebook power adapter
-1104,64,112,96,80,48,16,640,-64,-96,-96,-112,-64,-352,notebook power adapter
-800,64,80,96,96,80,48,1040,-96,-112,-112,-80,-80,-48,notebook power adapter
-1056,96,96,96,64,80,64,928,-80,-96,-96,-80,-64,-48,notebook power adapter
-1056,96,96,96,96,48,16,816,-64,-96,-96,-80,-64,-16,notebook power adapter
-976,80,96,96,96,80,16,464,-80,-112,-112,-64,-80,-784,notebook power adapter
-368,-64,96,96,112,96,64,32,368,-80,-96,-112,-80,-64,notebook power adapter
-512,80,112,112,96,64,96,336,-80,-96,-112,-96,-48,-208,notebook power adapter
-992,80,96,112,96,64,16,896,-64,-112,-112,-80,-64,-80,notebook power adapter
-1072,96,96,96,128,80,48,928,-80,-96,-112,-96,-80,-48,notebook power adapter
-672,64,80,96,112,96,48,928,-96,-96,-96,-80,-80,-16,notebook power adapter
-1072,112,96,112,80,80,64,944,-80,-96,-96,-64,-80,-48,notebook power adapter
-608,-496,-352,-176,96,320,592,576,448,304,112,-96,-416,-592,fan
-592,-480,-352,-176,0,208,496,608,512,384,208,-16,-224,-512,fan
-608,-512,-368,-176,32,256,512,592,512,352,160,-64,-288,-544,fan
-608,-528,-400,-224,-16,160,480,608,512,400,272,64,-112,-400,fan
-624,-544,-416,-256,-48,160,432,608,528,416,144,-80,-320,-560,fan
-608,-496,-352,-160,48,288,528,592,480,352,160,-64,-288,-512,fan
-608,-528,-400,-240,-16,176,448,592,496,384,224,0,-224,-512,fan
-624,-496,-352,-176,48,272,528,608,480,336,160,-64,-336,-512,fan
-624,-480,-336,-160,64,304,512,592,496,288,80,-112,-400,-592,fan
-592,-480,-336,-176,64,288,528,592,480,336,144,-80,-304,-560,fan
-576,-464,-336,-144,80,384,608,544,432,272,64,-96,-352,-576,fan
-624,-528,-416,-240,-32,160,448,624,512,400,240,16,-192,-480,fan
-592,-576,-464,-304,-112,96,368,576,560,448,288,96,-112,-368,fan
-608,-560,-448,-288,-96,112,368,576,560,400,240,32,-192,-480,fan
-608,-496,-400,-224,-16,192,528,576,448,304,112,-96,-384,-576,fan
-608,-496,-368,-192,80,320,560,576,464,320,128,-96,-368,-592,fan
-624,-496,-384,-208,16,224,512,608,496,368,192,-16,-224,-496,fan
-592,-496,-352,-160,0,208,544,592,496,336,208,-16,-224,-576,fan
-608,-544,-416,-256,-48,144,416,608,512,416,240,32,-176,-464,fan
-608,-544,-432,-288,-80,128,400,608,528,384,208,0,-208,-512,fan
-624,-544,-416,-256,-48,160,448,608,528,368,144,-96,-336,-576,fan
-608,-560,-448,-288,-144,80,320,544,576,480,320,144,-80,-336,fan
-624,-512,-368,-176,48,288,528,608,496,352,176,-64,-304,-512,fan
-608,-560,-432,-272,-64,128,432,608,528,416,256,48,-160,-448,fan
-608,-528,-416,-240,-32,176,528,608,496,368,176,-48,-272,-496,fan
-624,-480,-352,-160,64,288,544,608,480,320,192,-32,-272,-512,fan
-592,-480,-352,-176,48,288,528,592,480,336,144,-64,-288,-528,fan
-592,-480,-336,-208,16,224,496,592,496,368,176,-32,-272,-528,fan
-608,-496,-352,-176,48,272,528,608,480,352,160,-64,-304,-560,fan
-624,-528,-416,-240,-16,192,464,608,512,400,224,0,-208,-496,fan
-608,-496,-368,-192,32,192,464,592,512,320,112,-96,-368,-592,fan
-608,-480,-352,-160,64,288,512,608,496,336,144,-64,-304,-576,fan
-624,-528,-384,-208,0,288,496,624,496,384,208,-16,-224,-512,fan
-608,-528,-400,-176,48,256,512,576,464,304,112,-96,-400,-560,fan
-608,-496,-336,-144,16,208,496,608,512,368,192,-32,-272,-528,fan
-624,-528,-432,-288,-80,128,400,624,512,400,224,0,-208,-544,fan
-608,-528,-416,-256,-32,160,448,608,544,416,240,16,-176,-448,fan
-608,-560,-464,-336,-144,80,288,512,592,464,320,144,-80,-320,fan
-624,-480,-336,-160,64,288,528,592,480,336,144,-80,-336,-576,fan
-608,-496,-368,-176,48,256,544,592,480,352,144,-64,-256,-576,fan
-592,-496,-352,-224,0,192,432,576,464,304,112,-96,-304,-544,fan
-592,-592,-480,-320,-144,80,304,544,576,464,320,128,-80,-336,fan
-608,-544,-432,-272,-48,160,416,608,528,416,256,32,-192,-480,fan
-592,-480,-336,-144,64,304,544,592,480,336,144,-80,-352,-576,fan
-624,-528,-416,-240,-32,160,432,608,544,400,240,16,-208,-480,fan
-640,-528,-400,-240,-16,128,400,624,512,400,176,0,-208,-496,fan
-624,-496,-368,-192,80,368,544,576,464,320,128,-96,-304,-576,fan
-624,-512,-368,-192,32,224,512,608,496,368,176,-48,-256,-560,fan
-608,-496,-384,-192,32,240,496,592,496,368,192,-32,-272,-544,fan
-624,-512,-384,-192,16,224,512,592,496,368,128,-80,-304,-576,fan
-608,-464,-336,-160,64,288,544,592,480,336,144,-80,-320,-560,fan
-608,-544,-432,-256,-48,144,496,608,512,384,192,-32,-240,-496,fan
-608,-544,-432,-304,-112,96,352,592,576,448,304,112,-112,-352,fan
-592,-480,-320,-144,80,320,528,576,464,320,128,-96,-368,-576,fan
-608,-544,-400,-224,-16,192,480,608,512,384,208,0,-304,-544,fan
-608,-560,-448,-288,-64,128,416,592,560,400,160,-48,-224,-512,fan
-608,-480,-352,-160,48,272,528,592,480,336,144,-64,-288,-560,fan
-624,-528,-432,-272,0,208,464,608,496,384,208,0,-224,-496,fan
-608,-576,-464,-320,-112,128,432,624,544,416,256,48,-160,-448,fan
-608,-560,-432,-256,-64,144,432,624,544,416,240,32,-160,-448,fan
-608,-496,-384,-208,16,224,480,624,512,368,192,-32,-240,-528,fan
